"Date","Value"
"02-01-2014","1.6382"
"03-01-2014","1.639"
"06-01-2014","1.6361"
"07-01-2014","1.6347"
"08-01-2014","1.6418"
"09-01-2014","1.6412"
"10-01-2014","1.6434"
"13-01-2014","1.6334"
"14-01-2014","1.641"
"15-01-2014","1.6301"
"16-01-2014","1.6295"
"17-01-2014","1.6393"
"20-01-2014","1.6369"
"21-01-2014","1.6412"
"22-01-2014","1.6526"
"23-01-2014","1.6576"
"24-01-2014","1.645"
"27-01-2014","1.6522"
"28-01-2014","1.6532"
"29-01-2014","1.6501"
"30-01-2014","1.6447"
"31-01-2014","1.6384"
"03-02-2014","1.6281"
"04-02-2014","1.6245"
"05-02-2014","1.6255"
"06-02-2014","1.6275"
"07-02-2014","1.6343"
"10-02-2014","1.6347"
"11-02-2014","1.6433"
"12-02-2014","1.6528"
"13-02-2014","1.658"
"14-02-2014","1.6674"
"17-02-2014","1.6654"
"18-02-2014","1.6644"
"19-02-2014","1.6659"
"20-02-2014","1.6604"
"21-02-2014","1.6631"
"24-02-2014","1.6577"
"25-02-2014","1.6627"
"26-02-2014","1.6586"
"27-02-2014","1.6617"
"28-02-2014","1.6703"
"03-03-2014","1.6663"
"04-03-2014","1.6619"
"05-03-2014","1.6675"
"06-03-2014","1.6663"
"07-03-2014","1.6668"
"10-03-2014","1.6578"
"11-03-2014","1.6573"
"12-03-2014","1.6552"
"13-03-2014","1.6623"
"14-03-2014","1.6577"
"17-03-2014","1.6591"
"18-03-2014","1.6522"
"19-03-2014","1.6575"
"20-03-2014","1.6456"
"21-03-2014","1.6441"
"24-03-2014","1.6436"
"25-03-2014","1.6452"
"26-03-2014","1.6511"
"27-03-2014","1.6556"
"28-03-2014","1.658"
"31-03-2014","1.6617"
"01-04-2014","1.658"
"02-04-2014","1.6578"
"03-04-2014","1.653"
"04-04-2014","1.6533"
"07-04-2014","1.6555"
"08-04-2014","1.6693"
"09-04-2014","1.6691"
"10-04-2014","1.6718"
"11-04-2014","1.6664"
"14-04-2014","1.6679"
"15-04-2014","1.6673"
"16-04-2014","1.6731"
"17-04-2014","1.6745"
"22-04-2014","1.676"
"23-04-2014","1.6716"
"24-04-2014","1.6737"
"25-04-2014","1.6749"
"28-04-2014","1.6744"
"29-04-2014","1.678"
"30-04-2014","1.682"
"01-05-2014","1.6831"
"02-05-2014","1.6807"
"06-05-2014","1.6923"
"07-05-2014","1.6895"
"08-05-2014","1.6883"
"09-05-2014","1.677"
"12-05-2014","1.6798"
"13-05-2014","1.6767"
"14-05-2014","1.6712"
"15-05-2014","1.6732"
"16-05-2014","1.6765"
"19-05-2014","1.6763"
"20-05-2014","1.6782"
"21-05-2014","1.681"
"22-05-2014","1.679"
"23-05-2014","1.6775"
"27-05-2014","1.6736"
"28-05-2014","1.664"
"29-05-2014","1.6651"
"30-05-2014","1.6708"
"02-06-2014","1.669"
"03-06-2014","1.667"
"04-06-2014","1.6686"
"05-06-2014","1.6724"
"06-06-2014","1.6723"
"09-06-2014","1.6727"
"10-06-2014","1.6692"
"11-06-2014","1.672"
"12-06-2014","1.6772"
"13-06-2014","1.6871"
"16-06-2014","1.6895"
"17-06-2014","1.6879"
"18-06-2014","1.6853"
"19-06-2014","1.6965"
"20-06-2014","1.6926"
"23-06-2014","1.692"
"24-06-2014","1.6883"
"25-06-2014","1.6894"
"26-06-2014","1.6919"
"27-06-2014","1.6929"
"30-06-2014","1.7008"
"01-07-2014","1.7046"
"02-07-2014","1.7074"
"03-07-2014","1.7051"
"04-07-2014","1.7056"
"07-07-2014","1.7038"
"08-07-2014","1.7032"
"09-07-2014","1.7049"
"10-07-2014","1.7021"
"11-07-2014","1.7013"
"14-07-2014","1.7002"
"15-07-2014","1.705"
"16-07-2014","1.7051"
"17-07-2014","1.7007"
"18-07-2014","1.698"
"21-07-2014","1.698"
"22-07-2014","1.697"
"23-07-2014","1.6954"
"24-07-2014","1.6886"
"25-07-2014","1.6888"
"28-07-2014","1.6913"
